City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,marsa alam,25.0757,34.8918,26.04,79,100,2.01,EG,1699722047
1,margate,51.3813,1.3862,7.61,86,20,0.89,GB,1699722135
2,acajutla,13.5928,-89.8275,30.57,63,38,2.17,SV,1699722136
3,quellon,-43.1167,-73.6167,6.92,83,93,8.02,CL,1699722137
4,talnakh,69.4865,88.3972,-11.02,95,100,2.98,RU,1699722138
5,mahibadhoo,3.7833,72.9667,28.4,72,90,2.52,MV,1699722122
6,yellowknife,62.456,-114.3525,-0.88,100,75,5.14,CA,1699722009
7,labrador city,52.9463,-66.9114,-7.05,79,100,2.57,CA,1699722010
8,badger,64.8,-147.5333,-11.46,97,97,0.51,US,1699722143
9,bardai,11.65,7.2333,28.57,19,71,2.88,NG,1699722144
10,inhambane,-23.865,35.3833,25.0,69,0,4.12,MZ,1699722145
11,adamstown,-25.066,-130.1015,22.6,82,28,4.65,PN,1699722146
12,pogar,52.554,33.2591,5.0,87,100,7.7,RU,1699722147
13,pitimbu,-7.4706,-34.8086,29.33,66,98,6.02,BR,1699722147
14,tiksi,71.6872,128.8694,-11.3,87,100,7.81,RU,1699722148
15,puerto ayora,-0.7393,-90.3518,29.98,84,80,4.92,EC,1699722149
16,grytviken,-54.2811,-36.5092,4.17,85,32,0.22,GS,1699722150
17,smithers,54.7804,-127.1743,2.18,87,75,2.06,CA,1699722150
18,nova vicosa,-17.8919,-39.3719,30.21,55,10,8.07,BR,1699722151
19,vicente guerrero,19.1194,-98.1708,19.51,54,33,2.66,MX,1699722152
20,constantia,44.1833,28.65,11.38,70,100,6.54,RO,1699722153
21,ushuaia,-54.8,-68.3,6.81,70,75,10.8,AR,1699722125
22,vila velha,-20.3297,-40.2925,30.97,70,0,9.26,BR,1699722154
23,waitangi,-43.9535,-176.5597,11.11,82,28,5.24,NZ,1699722156
24,nar'yan-mar,67.6713,53.087,-4.94,94,92,8.05,RU,1699722157
25,axim,4.8699,-2.2405,27.72,78,37,3.88,GH,1699722158
26,klyuchi,52.2667,79.1667,4.6,76,99,5.04,RU,1699722159
27,puerto natales,-51.7236,-72.4875,8.32,47,100,5.03,CL,1699722160
28,thompson,55.7435,-97.8558,-1.91,86,100,3.6,CA,1699722064
29,sittwe,20.15,92.9,24.06,77,2,2.5,MM,1699722162
30,edinburgh of the seven seas,-37.0676,-12.3116,14.94,93,100,15.11,SH,1699722163
31,slave lake,55.2834,-114.769,-3.01,80,100,5.14,CA,1699722164
32,namibe,-15.1961,12.1522,21.85,73,95,4.14,AO,1699722165
33,praia,14.9215,-23.5087,29.3,51,23,5.66,CV,1699722165
34,port-aux-francais,-49.35,70.2167,3.42,63,14,5.3,TF,1699722166
35,olonkinbyen,70.9221,-8.7187,1.25,97,100,4.0,SJ,1699722167
36,pecos,31.4229,-103.4932,8.05,81,100,0.0,US,1699722001
37,kavaratti,10.5669,72.642,28.94,74,94,2.76,IN,1699722169
38,albany,42.6001,-73.9662,7.6,57,3,1.79,US,1699721935
39,colesberg,-30.72,25.0972,29.8,11,84,9.78,ZA,1699722170
40,isafjordur,66.0755,-23.124,0.02,80,75,1.54,IS,1699722170
41,wailua homesteads,22.0669,-159.378,23.24,90,41,0.89,US,1699722171
42,howard springs,-12.497,131.047,27.95,83,62,1.33,AU,1699722172
43,nizao,18.25,-70.2,32.04,65,11,7.79,DO,1699722172
44,rio branco do sul,-25.19,-49.3142,35.01,45,12,3.61,BR,1699722173
45,yuzhno-kurilsk,44.0306,145.8556,2.43,80,77,2.59,RU,1699722173
46,blackmans bay,-43.0167,147.3167,9.07,87,61,0.89,AU,1699722174
47,udachny,66.4167,112.4,-15.38,90,36,2.49,RU,1699722175
48,gaalkacyo,6.7697,47.4308,25.99,78,98,5.13,SO,1699722176
49,jianguang,28.1938,115.7836,12.25,86,100,6.26,CN,1699722177
50,manokwari,-0.8667,134.0833,26.05,82,94,3.04,ID,1699722177
51,iskateley,67.6803,53.1512,-4.99,94,93,8.05,RU,1699722178
52,isla vista,34.4133,-119.861,24.64,26,0,0.0,US,1699722178
53,recreo,-29.2818,-65.061,36.12,32,0,5.18,AR,1699722180
54,bilibino,68.0546,166.4372,-30.94,100,89,1.41,RU,1699722180
55,kourou,5.1552,-52.6478,31.03,61,8,5.37,GF,1699722181
56,alofi,-19.0595,-169.9187,21.94,100,100,7.72,NU,1699722182
57,bredasdorp,-34.5322,20.0403,17.29,62,4,7.56,ZA,1699722182
58,west island,-12.1568,96.8225,25.99,83,40,3.6,CC,1699722184
59,ancud,-41.8697,-73.8203,8.3,63,91,9.07,CL,1699722185
60,ilulissat,69.2167,-51.1,-7.99,45,75,4.12,GL,1699722186
61,bethel,41.3712,-73.414,11.68,59,11,0.89,US,1699722105
62,iquitos,-3.7481,-73.2472,30.02,89,40,2.06,PE,1699722190
63,marshfield,44.6689,-90.1718,3.58,59,53,3.82,US,1699722075
64,gadzhiyevo,69.2551,33.3362,-5.88,85,81,2.87,RU,1699722205
65,yakakent,41.6325,35.5289,20.17,57,90,4.49,TR,1699722207
66,bichura,50.5881,107.6022,-12.06,89,5,1.36,RU,1699722209
67,jindabyne,-36.4167,148.6333,12.81,94,77,0.9,AU,1699722209
68,alta,69.9689,23.2717,-3.41,85,100,2.57,NO,1699722210
69,palmer,42.1584,-72.3287,10.74,49,20,6.69,US,1699722211
70,longyearbyen,78.2186,15.6401,-6.09,73,75,3.6,SJ,1699722212
71,harpanahalli,14.8,75.9833,22.64,62,16,3.36,IN,1699722212
72,port hedland,-20.3167,118.5667,25.03,73,1,3.6,AU,1699722161
73,paramonga,-10.6667,-77.8333,22.55,72,79,4.86,PE,1699722214
74,vorgashor,67.5833,63.95,-8.28,97,84,3.64,RU,1699722215
75,anadyr,64.75,177.4833,-17.72,84,20,4.0,RU,1699722216
76,midleton,51.9153,-8.1805,9.88,83,100,8.05,IE,1699722217
77,vila franca do campo,37.7167,-25.4333,22.16,99,12,4.01,PT,1699722218
78,angaur state,6.906,134.13,29.0,75,97,3.01,PW,1699722218
79,ebon,4.582,168.6964,26.97,85,100,4.9,MH,1699722219
80,walla walla,46.0646,-118.343,13.21,53,98,3.58,US,1699722041
81,avarua,-21.2078,-159.775,22.03,94,75,1.03,CK,1699722221
82,puerto carreno,6.189,-67.4859,30.99,74,20,1.03,CO,1699722223
83,san jose del guaviare,2.5729,-72.6459,28.65,81,79,0.43,CO,1699722224
84,al kharijah,25.4514,30.5464,29.88,36,100,2.01,EG,1699722224
85,ocos,14.5094,-92.1933,32.1,71,63,2.87,GT,1699722225
86,westport,41.1415,-73.3579,12.96,50,75,4.63,US,1699722226
87,selfoss,63.9331,-20.9971,1.69,82,97,3.35,IS,1699722227
88,lebowakgomo,-24.2,29.5,29.5,23,0,2.36,ZA,1699722227
89,uturoa,-16.7333,-151.4333,27.25,79,96,4.71,PF,1699722228
90,zhob,31.3411,69.4481,15.17,22,0,1.01,PK,1699722228
91,arraial do cabo,-22.9661,-42.0278,31.98,74,0,6.69,BR,1699722155
92,lucelia,-21.7203,-51.0189,38.84,14,15,4.12,BR,1699722230
93,sinabang,2.4803,96.3801,25.78,85,92,1.06,ID,1699722230
94,ararangua,-28.9347,-49.4858,30.44,60,74,1.98,BR,1699722141
95,margaret river,-33.95,115.0667,12.18,69,82,6.67,AU,1699722231
96,buka,40.8108,69.1986,11.46,59,100,5.93,UZ,1699722232
97,sona,45.4388,10.8255,9.75,84,20,1.54,IT,1699722233
98,herkimer,43.0256,-74.986,5.45,71,7,0.45,US,1699722006
99,namdrik,5.5994,168.1028,26.27,91,100,3.97,MH,1699722234
100,buenos aires,-34.6132,-58.3772,26.11,54,0,2.57,AR,1699721700
101,nakamura,32.9833,132.9333,13.16,87,90,2.09,JP,1699722235
102,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,7.72,EC,1699722236
103,iqaluit,63.7506,-68.5145,-7.15,79,75,5.66,CA,1699722089
104,kidal,18.4411,1.4078,32.41,6,1,4.1,ML,1699722238
105,kirakira,-10.4544,161.9205,26.17,88,100,3.95,SB,1699722238
